scenario,replicate,seed,posterior,family,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,n_steps_run,converged,secs,cpu_secs
nonlinear,0,3000,free,gaussian,1,Vmax,7.162208734525231,8.0,-10.472390818434608,-33.25372849110626,1861.304294218044,9000,False,116.72703099250793,116.062111
nonlinear,0,3000,free,gaussian,1,Km,1.4806519590131118,2.0,-25.96740204934441,-33.25372849110626,1861.304294218044,9000,False,116.72704100608826,116.062111
nonlinear,0,3000,free,gaussian,1,V,32.64455884888924,30.0,8.815196162964131,-33.25372849110626,1861.304294218044,9000,False,116.7270450592041,116.062111
nonlinear,0,3000,free,gaussian,1,om_Vmax,0.2530289328111867,0.3,-15.657022396271092,-33.25372849110626,1861.304294218044,9000,False,116.72704696655273,116.062111
nonlinear,0,3000,free,gaussian,1,om_Km,0.022071035341102593,0.3,-92.64298821963247,-33.25372849110626,1861.304294218044,9000,False,116.72704887390137,116.062111
nonlinear,0,3000,free,gaussian,1,om_V,0.09353288884303074,0.2,-53.23355557848463,-33.25372849110626,1861.304294218044,9000,False,116.72705101966858,116.062111
nonlinear,0,3000,free,gaussian,1,sigma,0.243743250289139,0.2,21.8716251445695,-33.25372849110626,1861.304294218044,9000,False,116.72705316543579,116.062111
