step,om_CL,om_V,om_ka,loss,secs
0,0.31538132705729816,0.3153813273965594,0.3153813270053351,20.33147389050983,0.01291799545288086
250,0.32922089169164637,0.15610847986763818,0.31772407496297617,2.0425820750432857,0.09946179389953613
500,0.324560252236584,0.13665647431683633,0.3349681073956795,1.9524986125480956,0.18357181549072266
750,0.32236635644494904,0.1332550786894079,0.34944519060921864,1.9571145026041505,0.27049708366394043
1000,0.30277296640190837,0.12407183955589433,0.370297621731078,1.7963990351096268,0.35584282875061035
1250,0.3210590315640158,0.14020602501913526,0.34216638185693105,2.0135624102048513,0.43990087509155273
1500,0.31988251147058594,0.12988160754337583,0.3331692984904611,1.9386925875456547,0.5674288272857666
1750,0.3348878765361682,0.12454214662565845,0.34452731632247396,1.9923749088324685,0.6520190238952637
2000,0.3208725376885514,0.1439234095527054,0.34015705659012324,2.2913775762835784,0.7368698120117188
2250,0.3211941786232448,0.1310082241048287,0.3428002522958308,2.0721266987489217,0.8228368759155273
2500,0.3125670225635262,0.1275605764210504,0.343462535758581,1.8378008022414989,0.9075348377227783
2750,0.301876644038702,0.15735603092121253,0.3091668841338273,2.022779260751455,0.9917309284210205
3000,0.31144199248673665,0.14405128271385226,0.3341923570633221,1.9603909438588747,1.0758519172668457
3250,0.32197916074070826,0.12923569988015404,0.3356778123425243,1.93002070011544,1.160066843032837
3500,0.3060139003380653,0.149156032744442,0.3173895890968653,1.9575878258143333,1.2453339099884033
3750,0.3115104798833373,0.14616012874752599,0.32383476885356216,2.143677004046906,1.3302531242370605
4000,0.31586897125863583,0.12958208785894854,0.3633982532491672,2.00524998698009,1.4141287803649902
4250,0.3187855704310942,0.13187489247662187,0.3241825490474639,1.9647924012775784,1.4971718788146973
4500,0.32206847488019513,0.13265829449756622,0.3316593341483357,1.9014206994162877,1.5814409255981445
4750,0.31176353217261754,0.1368152862580435,0.3285814324394239,1.9428654764699045,1.6653468608856201
5000,0.31625862027705315,0.13331575916702315,0.3242844956104978,2.0716510759343203,1.749950885772705
5250,0.3161823129392833,0.12916512481470427,0.35047084289334685,1.8801774702203393,1.8342359066009521
5500,0.30921187197835615,0.12890706368415333,0.33807835025088256,1.8661771917805743,1.9184489250183105
5750,0.3229729045545865,0.13565734513429126,0.3353248621456122,1.9073345607336671,2.002495050430298
6000,0.3155425186725925,0.1274309127723968,0.336032572403771,1.842057314117494,2.0866079330444336
6250,0.31595965743540483,0.13062472981260123,0.337080894414521,1.893912718290376,2.1702258586883545
6500,0.3198907049032643,0.12347137746373558,0.3386027992829219,1.883028788986801,2.255128860473633
6750,0.3196184087868894,0.1297873722377207,0.3547014441930642,1.8146193704415643,2.3395609855651855
