subject,arm,ess,top_share
0,good,595.4698922620137,0.035516485262392594
1,good,381.12934758860536,0.025342866160430678
2,good,1508.3352273932142,0.008291611469726894
3,good,2546.6777199626026,0.004568156941207682
4,good,1738.6300525633173,0.007436671455187412
5,good,2073.9523211118085,0.00348373646527999
6,good,1605.7470327761896,0.007657001656634951
7,good,2154.227432041534,0.004755874568677817
8,good,2640.4312984468647,0.0034291762071208885
9,good,1696.9532741753048,0.007654177620642359
10,good,424.2259726946276,0.03363516316397544
11,good,3216.9563787361385,0.0014753756887980474
12,good,1974.0341801736859,0.0032789931337610027
13,good,2279.50897455685,0.0047906792158166
14,good,2513.845998223306,0.003932402605377342
15,good,2157.1775077545212,0.004205251368164094
16,good,1374.7141811342344,0.011633283484915548
17,good,971.957537508884,0.018907031588487534
18,good,2224.517789913596,0.006165175973010214
19,good,1588.1066989007543,0.0050979339279558404
20,good,2928.9418018266947,0.0015149801115476448
21,good,1747.2331173451141,0.008776952669484602
22,good,2558.3571429184385,0.0031019290797359893
23,good,1613.7394279829264,0.007495394580067753
24,good,2415.781617634219,0.0035589354152086076
25,good,1865.6057287798137,0.004225398635582899
26,good,1532.9621152197512,0.008131905342704367
27,good,2340.320196390839,0.004793709488455475
28,good,2404.418141528963,0.004014976266586753
29,good,2197.8278455658638,0.004240142250760559
30,good,1913.351334023064,0.005455589014899071
31,good,931.1693956768063,0.017638808650624664
32,good,1206.2660113817253,0.020355773302828537
33,good,1928.5555560535975,0.008937596664146785
34,good,2440.5518362890707,0.003933293184756284
35,good,1393.1607738435994,0.012199088137233022
36,good,839.6189342439118,0.014449008684763481
37,good,1426.3568389076804,0.007764907548009207
38,good,986.8580760994503,0.01706292579308285
39,good,299.46071852970084,0.03916475436515167
40,good,2544.3914440250396,0.005417367469062896
41,good,770.96428921602,0.026126357598688615
42,good,64.05102997343499,0.12118918513188247
43,good,2549.4177152768143,0.0027162519576616564
44,good,10.695292764720037,0.3052871606861308
45,good,3087.7282596131727,0.002048412888894589
46,good,1718.7254772658441,0.007108412400213654
47,good,2175.306597617969,0.004506965090589887
48,good,1755.1096641742865,0.006461533733329764
49,good,2209.94282025829,0.0062176074096841885
50,good,1604.178709971062,0.00794102864304993
51,good,2636.356979978756,0.0046850060132330295
52,good,947.3700518076739,0.021702829973078853
53,good,2261.9198890946896,0.0036662792126770953
54,good,128.90619144036498,0.07021162091845273
55,good,2587.802652336843,0.004182450562016054
56,good,2171.658025595044,0.0028357443415285943
57,good,1651.587467584588,0.00842352616166856
58,good,3033.938044635532,0.0017476770852158836
59,good,1743.9078678177234,0.008159399212476917
60,good,1749.1050160573573,0.0071660639467198105
61,good,2036.6494039937315,0.006496844606642954
62,good,1522.267511305472,0.008613032975400474
63,good,1417.6188598610308,0.0063515891044398035
64,good,2236.1412147676015,0.003452624207279809
65,good,1535.8951463307517,0.014477720302909192
66,good,1992.0479625389066,0.0046486666270239485
67,good,1204.8643872108873,0.009414740438291824
68,good,2668.9611594056655,0.0022960128283701863
69,good,1829.705859854538,0.005684732043225536
70,good,884.1576480796052,0.011321855650569508
71,good,1526.1236218448823,0.01376416502486664
72,good,2242.5936204186364,0.007325119314736507
73,good,2706.5157602762147,0.002884143183864232
74,good,1696.1258262622155,0.008549401535429789
75,good,2773.6684881217247,0.0033543720274581976
76,good,2276.847220356289,0.004257628478849595
77,good,2326.2180226743594,0.003715587606926614
78,good,1814.718380839178,0.008569990129642458
79,good,1472.744899690793,0.010047556732527196
80,good,2429.8259401659793,0.0038878178136170422
81,good,2245.849716041201,0.005386212982250397
82,good,2811.1942450665783,0.0037506746121674112
83,good,2347.3832942579743,0.006309968347938435
84,good,590.5993335908124,0.029729532057906516
85,good,1397.4763738778076,0.013455358557162346
86,good,2093.6915722477465,0.004800051287194105
87,good,1660.5902059679522,0.011909732990827548
88,good,1741.9002877375506,0.00782437207425853
89,good,1195.310134385435,0.011193015714405093
90,good,2568.5413212090116,0.00443806525538148
91,good,1570.1955373170958,0.00832783978157141
92,good,2418.568643816108,0.005568032759573306
