scenario,replicate,seed,posterior,family,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,n_steps_run,converged,secs,cpu_secs
dense,0,3000,free,flow,1,CL,2.929138606398742,3.0,-2.3620464533752696,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,V,29.85654879988632,30.0,-0.4781706670456032,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,ka,1.1797015198367167,1.2,-1.6915400136069403,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,om_CL,0.33168211273078907,0.3,10.560704243596362,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,om_V,0.21579246313253062,0.2,7.8962315662653015,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,om_ka,0.37175638993471344,0.4,-7.0609025163216455,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,1,sigma,0.20083696378006616,0.2,0.41848189003307334,-192.85461215232118,3634.3123793695336,9500,True,38.36370587348938,37.371026
dense,0,3000,free,flow,8,CL,2.9956267389171116,3.0,-0.14577536942961267,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,V,30.2007862267235,30.0,0.6692874224116707,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,ka,1.1289656095298384,1.2,-5.919532539180132,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,om_CL,0.3259251502754005,0.3,8.641716758466831,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,om_V,0.21254759347206187,0.2,6.273796736030929,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,om_ka,0.35354161482469476,0.4,-11.614596293826315,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,8,sigma,0.20269795462135395,0.2,1.3489773106769714,-194.54038089376593,1069.2988040643236,5250,True,6.457326889038086,6.371380000000002
dense,0,3000,free,flow,64,CL,2.8902595134786817,3.0,-3.6580162173772766,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,V,29.704833783850237,30.0,-0.9838873871658768,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,ka,1.1926706755175807,1.2,-0.6107770402016082,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,om_CL,0.3347541973335821,0.3,11.584732444527365,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,om_V,0.21978621732357542,0.2,9.893108661787705,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,om_ka,0.3506562473432682,0.4,-12.335938164182949,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,0,3000,free,flow,64,sigma,0.19912970877688696,0.2,-0.43514561155652554,-193.3198382773035,739.3488519048806,3250,True,15.031609058380127,14.900474000000003
dense,1,3001,free,flow,1,CL,2.9483752480291243,3.0,-1.7208250656958561,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,V,29.221685918581247,30.0,-2.594380271395842,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,ka,1.1332326355326334,1.2,-5.563947038947211,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,om_CL,0.31422434530071247,0.3,4.741448433570827,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,om_V,0.16894924341121384,0.2,-15.525378294393086,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,om_ka,0.4244474177473409,0.4,6.11185443683522,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,1,sigma,0.2029476742807826,0.2,1.4738371403912875,-185.79423248474177,3679.5583348304554,9750,True,40.503358364105225,40.06035599999999
dense,1,3001,free,flow,8,CL,2.994859262524877,3.0,-0.17135791583743712,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,V,29.197970238715474,30.0,-2.673432537615087,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,ka,1.152196277764052,1.2,-3.9836435196623317,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,om_CL,0.31455023166360535,0.3,4.850077221201787,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,om_V,0.15241027217846687,0.2,-23.794863910766573,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,om_ka,0.4287945637363211,0.4,7.198640934080263,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,8,sigma,0.20336305130424565,0.2,1.6815256521228172,-185.47331821472727,1929.8338401165058,10500,True,12.338253021240234,12.229175999999995
dense,1,3001,free,flow,64,CL,2.884100578410289,3.0,-3.863314052990363,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,V,28.90523697058216,30.0,-3.64921009805947,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,ka,1.165514460162072,1.2,-2.8737949864940013,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,om_CL,0.3161813048767019,0.3,5.393768292233962,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,om_V,0.16153611405800697,0.2,-19.23194297099652,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,om_ka,0.44106860473556003,0.4,10.267151183890002,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,1,3001,free,flow,64,sigma,0.200104807559561,0.2,0.052403779780496595,-186.41757202222726,1336.5878035495557,2750,True,12.4949209690094,12.370514999999997
dense,2,3002,free,flow,1,CL,2.9003019900196065,3.0,-3.323266999346449,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,V,30.6338141680677,30.0,2.112713893559004,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,ka,1.2164038873872727,1.2,1.36699061560606,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,om_CL,0.3158840342147843,0.3,5.294678071594764,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,om_V,0.22178555353077867,0.2,10.892776765389328,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,om_ka,0.4022930619952687,0.4,0.5732654988171715,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,1,sigma,0.2047451360360777,0.2,2.3725680180388395,-193.81143440905998,2749.7414542370448,2250,True,9.076240062713623,9.022846999999999
dense,2,3002,free,flow,8,CL,2.8582127953259704,3.0,-4.726240155800987,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,V,30.95279319590343,30.0,3.1759773196780947,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,ka,1.1985319111995183,1.2,-0.12234073337347162,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,om_CL,0.3184653721772146,0.3,6.155124059071538,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,om_V,0.22925380669773568,0.2,14.626903348867835,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,om_ka,0.40685120025567106,0.4,1.7128000639177603,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,8,sigma,0.19823194284455478,0.2,-0.8840285777226148,-194.04600783897124,1736.8931605519704,10250,True,11.955721139907837,11.852817999999985
dense,2,3002,free,flow,64,CL,2.963787651287766,3.0,-1.2070782904078037,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,V,30.568978853385225,30.0,1.8965961779507505,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,ka,1.1914294712657005,1.2,-0.7142107278582851,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,om_CL,0.31277820564658415,0.3,4.259401882194721,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,om_V,0.23118479385096605,0.2,15.592396925483017,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,om_ka,0.4194259787061124,0.4,4.8564946765281,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,2,3002,free,flow,64,sigma,0.1970128819778895,0.2,-1.4935590110552592,-192.91377927724187,1948.3869215175903,11250,True,51.852633237838745,51.30919
dense,3,3003,free,flow,1,CL,2.9510832698206655,3.0,-1.6305576726444837,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,V,30.823438939220004,30.0,2.744796464066681,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,ka,1.2520302562948684,1.2,4.335854691239039,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,om_CL,0.32376657208259674,0.3,7.9221906941989175,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,om_V,0.1748615801869491,0.2,-12.56920990652545,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,om_ka,0.31742504614144285,0.4,-20.64373846463929,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,1,sigma,0.18980948159644143,0.2,-5.0952592017792915,-125.86368676775393,2758.4408110029385,2250,True,9.795313835144043,9.65769800000001
dense,3,3003,free,flow,8,CL,3.0293061876036935,3.0,0.9768729201231174,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,V,30.381078675192185,30.0,1.2702622506406176,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,ka,1.2470926422786583,1.2,3.9243868565548663,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,om_CL,0.32495723650907654,0.3,8.319078836358852,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,om_V,0.17085981029450417,0.2,-14.570094852747918,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,om_ka,0.34816959047219265,0.4,-12.957602381951844,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,8,sigma,0.1816103549285282,0.2,-9.194822535735904,-124.76552028268247,2912.4917853662732,12250,True,15.022515058517456,14.821414000000004
dense,3,3003,free,flow,64,CL,3.0346459834801727,3.0,1.1548661160057556,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,V,30.243733799466202,30.0,0.8124459982206744,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,ka,1.2621310769184155,1.2,5.177589743201298,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,om_CL,0.31955104790797323,0.3,6.517015969324413,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,om_V,0.1730686714046927,0.2,-13.465664297653653,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,om_ka,0.3528052887350665,0.4,-11.79867781623338,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,3,3003,free,flow,64,sigma,0.18158015747890424,0.2,-9.209921260547883,-124.60725634757165,1363.6629408800843,11000,True,52.475476026535034,51.74839
dense,4,3004,free,flow,1,CL,2.8847409763143665,3.0,-3.8419674561877817,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,V,30.6110241961369,30.0,2.0367473204563304,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,ka,1.2690105429126273,1.2,5.750878576052276,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,om_CL,0.34597977886831777,0.3,15.326592956105927,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,om_V,0.2494946426062168,0.2,24.74732130310839,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,om_ka,0.36623748826052505,0.4,-8.440627934868743,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,1,sigma,0.20663795787192074,0.2,3.3189789359603648,-209.10946921931486,3229.7522120749,2250,True,9.088680267333984,9.031964000000016
dense,4,3004,free,flow,8,CL,2.896948148053743,3.0,-3.435061731541896,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,V,31.011122834819012,30.0,3.3704094493967083,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,ka,1.2320917216552123,1.2,2.6743101379343623,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,om_CL,0.3509492771040005,0.3,16.983092368000165,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,om_V,0.24426409198907167,0.2,22.13204599453583,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,om_ka,0.36958110791778004,0.4,-7.604723020554995,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,8,sigma,0.20221691504155337,0.2,1.108457520776679,-208.50045626844116,2857.656309469441,7250,True,8.614562034606934,8.539309000000003
dense,4,3004,free,flow,64,CL,2.939546373984067,3.0,-2.0151208671977727,-209.06367888973367,1437.2503269767892,4500,True,20.283724069595337,20.13158599999997
dense,4,3004,free,flow,64,V,30.410219394917192,30.0,1.3673979830573064,-209.06367888973367,1437.2503269767892,4500,True,20.283724069595337,20.13158599999997
