replicate,seed,posterior,K,param,estimate,truth,rel_bias_pct,marginal_ll,mean_ess,frac_bad,n_steps_run,converged,secs,cpu_secs
0,1000,free,1,CL,3.099231202612657,3.0,3.3077067537552316,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.5534138679504395,4.505412
0,1000,free,1,V,31.716468889334244,30.0,5.7215629644474815,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553424835205078,4.505412
0,1000,free,1,ka,1.2187979541591447,1.2,1.56649617992873,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553430080413818,4.505412
0,1000,free,1,om_CL,0.2923749239721277,0.3,-2.5416920092907564,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553433895111084,4.505412
0,1000,free,1,om_V,0.1440080741463903,0.2,-27.995962926804854,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553437948226929,4.505412
0,1000,free,1,om_ka,0.35883854025010753,0.4,-10.290364937473123,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553442001342773,4.505412
0,1000,free,1,sigma,0.20972148084862874,0.2,4.860740424314363,-162.3815422336072,1243.2535457784077,0.0,13500,True,4.553444862365723,4.505412
0,1000,free,8,CL,3.1823099403304127,3.0,6.076998011013757,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.0122368335723877,3.2585170000000003
0,1000,free,8,V,31.569037027180674,30.0,5.230123423935578,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.0122427940368652,3.2585170000000003
0,1000,free,8,ka,1.193109776974973,1.2,-0.5741852520855795,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.0122480392456055,3.2585170000000003
0,1000,free,8,om_CL,0.2981140766521781,0.3,-0.6286411159406313,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.012251853942871,3.2585170000000003
0,1000,free,8,om_V,0.16796824513257966,0.2,-16.015877433710177,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.012255907058716,3.2585170000000003
0,1000,free,8,om_ka,0.3791343148726448,0.4,-5.216421281838801,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.012259006500244,3.2585170000000003
0,1000,free,8,sigma,0.19448116981992808,0.2,-2.759415090035966,-157.9180671538048,1757.9756945066513,0.0,6250,True,3.0122628211975098,3.2585170000000003
0,1000,free,64,CL,3.0019094373528894,3.0,0.06364791176297994,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690841674804688,14.830153999999999
0,1000,free,64,V,31.547736769978997,30.0,5.159122566596655,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690849781036377,14.830153999999999
0,1000,free,64,ka,1.1893636342494762,1.2,-0.8863638125436446,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690854787826538,14.830153999999999
0,1000,free,64,om_CL,0.3043533944189184,0.3,1.4511314729728035,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690858840942383,14.830153999999999
0,1000,free,64,om_V,0.183508128489503,0.2,-8.245935755248512,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690862655639648,14.830153999999999
0,1000,free,64,om_ka,0.41123202080031784,0.4,2.8080052000794553,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690865755081177,14.830153999999999
0,1000,free,64,sigma,0.19290236289130133,0.2,-3.548818554349339,-156.73588673424456,1872.7304580425762,0.0,6250,True,10.690868854522705,14.830153999999999
0,1000,amortized,1,CL,2.960325560552608,3.0,-1.3224813149130672,-182.58449192162996,2256.988135879966,0.0,25000,False,12.736378908157349,13.418346
0,1000,amortized,1,V,31.39444567005362,30.0,4.648152233512069,-182.58449192162996,2256.988135879966,0.0,25000,False,12.736386060714722,13.418346
0,1000,amortized,1,ka,1.2137603847917657,1.2,1.1466987326471483,-182.58449192162996,2256.988135879966,0.0,25000,False,12.736389875411987,13.418346
0,1000,amortized,1,om_CL,0.3074736034981103,0.3,2.4912011660367757,-182.58449192162996,2256.988135879966,0.0,25000,False,12.736393928527832,13.418346
0,1000,amortized,1,om_V,0.063182640969808,0.2,-68.40867951509601,-182.58449192162996,2256.988135879966,0.0,25000,False,12.73639702796936,13.418346
0,1000,amortized,1,om_ka,0.4299241261190906,0.4,7.4810315297726415,-182.58449192162996,2256.988135879966,0.0,25000,False,12.736400842666626,13.418346
0,1000,amortized,1,sigma,0.22102107155018202,0.2,10.510535775091006,-182.58449192162996,2256.988135879966,0.0,25000,False,12.73640513420105,13.418346
