replicate,seed,ll_reduced,ll_full,dofv,converged_reduced,converged_full,n_steps_reduced,n_steps_full,secs,CL_reduced,V_reduced,ka_reduced,om_CL_reduced,om_V_reduced,sigma_reduced,CL_full,V_full,ka_full,om_CL_full,om_V_full,om_ka_full,sigma_full,sigma_diff
0,5000,-105.66585092965718,-105.63623722690079,0.059227405512785936,True,True,17000,23000,170.1195011138916,3.0300308341395503,30.81521660504528,1.273488413322437,0.30301293106708194,0.17470717774050445,0.19872899498829674,3.002235183505479,30.517079882600683,1.2636684525872652,0.30298974593973266,0.17342292970621537,0.03810969871826345,0.19820648692400833,-0.0005225080642884128
1,5001,-116.40826892226696,-116.07824408950805,0.6600496655178176,True,True,12000,24500,157.31962394714355,2.9275811967693097,29.634501964227432,1.1466385866853344,0.2899287788580198,0.19841429030526708,0.20056062471924777,2.908644208565924,29.90991684525599,1.133555405207779,0.29210381766385873,0.19815831992406255,0.020794016451214974,0.19980771852421275,-0.0007529061950350135
2,5002,-114.44549489722783,-113.9234785202103,1.0440327540350722,True,False,17250,25000,180.25897908210754,2.8292185530272027,29.871499332601093,1.2432043231703156,0.2814975948759423,0.19623400248800354,0.2007244558619673,2.8376998320541937,29.156913314366406,1.2389535434134302,0.2844891401884923,0.19600496502008236,0.05382271214229425,0.20018846279064148,-0.0005359930713258187
3,5003,-120.83937488248719,-121.22888587745301,-0.7790219899316355,True,True,16500,25000,176.92359924316406,3.0317410485630427,30.9622522222328,1.2371656426582975,0.3085619955498243,0.20514728388545464,0.20119919663543434,2.9096233918756367,30.71277712004151,1.2091751873576322,0.3103120984635191,0.20444271304517167,0.04157984529814997,0.1999700639373639,-0.0012291326980704287
4,5004,-135.39517461664036,-135.951733178204,-1.1131171231272674,True,True,24000,22250,193.56598901748657,3.108553015201485,30.50088087092935,1.1773366667741427,0.25124456467643863,0.2120684688787901,0.21034844350937115,3.125517488160483,29.85058552630166,1.1674264019764344,0.2549031823802495,0.20794549160182557,0.07709384383888357,0.20871757789335554,-0.0016308656160156088
5,5005,-133.85170471500646,-133.62539680577157,0.4526158184697806,True,True,16000,12500,120.11703395843506,3.082235451074457,29.74298003956024,1.1648347911106385,0.2800941522011517,0.19716331393175462,0.20392585730866672,3.119013221960959,29.468495972980147,1.1531845686300937,0.2816855028981672,0.19872452537244706,0.04016657672667306,0.20380218452623924,-0.00012367278242747526
6,5006,-130.73789062253468,-130.3644892278653,0.7468027893387443,True,True,17750,13500,131.54317021369934,2.988722616787783,29.965053674192767,1.169900556393143,0.30821919199612446,0.21252057888588427,0.20074907672883774,2.902693719520171,29.38360463228656,1.1894133138951257,0.30709725593563736,0.2105569902509522,0.040776537131795784,0.20029350587198835,-0.0004555708568493855
7,5007,-134.96223176865877,-134.91866280834995,0.0871379206176357,True,True,13000,18500,133.81517791748047,2.869612263225901,30.27876904156401,1.276704021760043,0.3117791598889934,0.2060745024659409,0.20551331055299152,2.9183729346910217,29.755676669836593,1.271588518900754,0.3132795548142741,0.20120652963699345,0.06964654645655505,0.2032678216617789,-0.0022454888912126214
8,5008,-102.79024178234911,-103.65211030041343,-1.7237370361286253,True,False,2750,25000,124.47632503509521,2.943851517895293,29.556496194705016,1.1809565107288633,0.2735940855697237,0.18629358650178093,0.20009585084082426,2.860428932816566,29.309494210177824,1.147920141721274,0.2754443605818381,0.18140460441861525,0.07004218904869429,0.19786376177161097,-0.0022320890692132944
9,5009,-143.40086519161167,-143.16633120831034,0.46906796660266536,True,True,10750,17750,123.55237817764282,3.0473628715938497,30.2597481378916,1.1703001140034583,0.2601340136977465,0.22686844594005778,0.20891735913127027,3.001424481536239,29.927021085197854,1.2042672632055191,0.259648553238225,0.22540988854616098,0.03662653833491777,0.21038989708595554,0.0014725379546852713
